Gravité de l'accident;Type d'accident;Mois de l'accident;Genre de route;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Accident avec tués;Accident lors du stationnement;Janvier;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Février;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Février;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Février;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Février;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Février;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Février;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mars;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mars;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mars;Route secondaire;0;0;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mars;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mars;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Avril;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Avril;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Avril;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Avril;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Avril;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mai;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mai;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mai;Route secondaire;0;0;0;0;0;1;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mai;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Mai;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juin;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juin;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juin;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juin;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juin;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juillet;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juillet;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juillet;Route secondaire;0;0;0;0;0;1;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juillet;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Juillet;Autre;0;0;0;0;0;1;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Août;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Août;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Août;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Août;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Août;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Septembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Septembre;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Septembre;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Septembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Septembre;Autre;1;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Octobre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Octobre;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Octobre;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Octobre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Octobre;Autre;0;0;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Novembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Novembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Novembre;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Novembre;Route secondaire;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Novembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Novembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Décembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Décembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Décembre;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Décembre;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Décembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du stationnement;Décembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Janvier;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Janvier;Route principale;4;4;2;3;0;4;1;1;1;3;4
Accident avec tués;Accident concernant des piétons;Janvier;Route secondaire;0;1;0;2;1;1;0;1;0;2;1
Accident avec tués;Accident concernant des piétons;Janvier;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Janvier;Autre;0;0;0;1;0;0;0;2;0;0;0
Accident avec tués;Accident concernant des piétons;Février;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Février;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Février;Route principale;1;1;4;3;0;0;2;4;3;1;4
Accident avec tués;Accident concernant des piétons;Février;Route secondaire;1;4;0;1;1;1;3;0;0;1;2
Accident avec tués;Accident concernant des piétons;Février;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Février;Autre;0;0;0;0;1;0;1;0;0;0;0
Accident avec tués;Accident concernant des piétons;Mars;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Mars;Route principale;1;2;3;3;2;0;0;1;1;2;2
Accident avec tués;Accident concernant des piétons;Mars;Route secondaire;2;0;1;1;3;2;1;0;2;1;3
Accident avec tués;Accident concernant des piétons;Mars;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Mars;Autre;0;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Avril;Autoroute;0;1;0;0;0;1;0;0;1;0;0
Accident avec tués;Accident concernant des piétons;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Avril;Route principale;1;1;3;2;0;0;1;2;0;0;1
Accident avec tués;Accident concernant des piétons;Avril;Route secondaire;0;2;0;0;1;1;0;1;1;2;0
Accident avec tués;Accident concernant des piétons;Avril;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Avril;Autre;0;1;1;0;0;0;0;0;0;0;2
Accident avec tués;Accident concernant des piétons;Mai;Autoroute;0;0;1;0;1;0;1;0;0;0;0
Accident avec tués;Accident concernant des piétons;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Mai;Route principale;2;2;2;1;2;1;1;0;1;0;2
Accident avec tués;Accident concernant des piétons;Mai;Route secondaire;0;3;1;3;1;0;1;0;0;1;1
Accident avec tués;Accident concernant des piétons;Mai;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Mai;Autre;1;0;0;0;0;1;0;0;2;0;0
Accident avec tués;Accident concernant des piétons;Juin;Autoroute;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Juin;Route principale;1;0;1;2;2;2;1;2;1;1;1
Accident avec tués;Accident concernant des piétons;Juin;Route secondaire;1;3;2;0;1;2;2;2;3;1;3
Accident avec tués;Accident concernant des piétons;Juin;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Juin;Autre;0;0;1;0;0;0;0;1;3;0;0
Accident avec tués;Accident concernant des piétons;Juillet;Autoroute;0;0;1;1;1;0;0;0;1;0;0
Accident avec tués;Accident concernant des piétons;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Juillet;Route principale;2;0;2;2;2;0;0;1;1;0;1
Accident avec tués;Accident concernant des piétons;Juillet;Route secondaire;1;3;0;1;1;0;1;0;2;0;3
Accident avec tués;Accident concernant des piétons;Juillet;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Juillet;Autre;0;0;1;0;0;0;2;1;0;0;0
Accident avec tués;Accident concernant des piétons;Août;Autoroute;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Août;Route principale;1;3;2;1;0;4;2;2;0;1;2
Accident avec tués;Accident concernant des piétons;Août;Route secondaire;1;2;0;0;0;1;0;0;0;1;0
Accident avec tués;Accident concernant des piétons;Août;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Août;Autre;0;0;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Septembre;Autoroute;0;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Septembre;Route principale;3;2;3;0;1;3;2;0;3;1;0
Accident avec tués;Accident concernant des piétons;Septembre;Route secondaire;0;3;2;0;3;0;0;1;2;2;2
Accident avec tués;Accident concernant des piétons;Septembre;Semi-autoroute;0;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Septembre;Autre;0;1;0;1;1;1;1;0;0;0;1
Accident avec tués;Accident concernant des piétons;Octobre;Autoroute;0;1;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Octobre;Route principale;3;4;1;4;3;0;4;1;1;1;1
Accident avec tués;Accident concernant des piétons;Octobre;Route secondaire;3;1;0;1;2;0;0;2;1;1;2
Accident avec tués;Accident concernant des piétons;Octobre;Semi-autoroute;0;0;0;0;0;0;0;0;0;1;0
Accident avec tués;Accident concernant des piétons;Octobre;Autre;0;0;0;0;1;0;0;0;0;0;1
Accident avec tués;Accident concernant des piétons;Novembre;Autoroute;0;0;0;1;1;0;1;0;0;0;0
Accident avec tués;Accident concernant des piétons;Novembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Novembre;Route principale;2;3;5;1;4;0;2;4;1;7;3
Accident avec tués;Accident concernant des piétons;Novembre;Route secondaire;4;1;1;0;3;1;0;0;1;4;2
Accident avec tués;Accident concernant des piétons;Novembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Novembre;Autre;0;1;1;0;1;0;0;0;1;0;0
Accident avec tués;Accident concernant des piétons;Décembre;Autoroute;0;0;0;3;0;1;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Décembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Décembre;Route principale;3;3;2;3;3;6;3;4;4;2;1
Accident avec tués;Accident concernant des piétons;Décembre;Route secondaire;2;4;3;0;2;2;5;5;1;0;3
Accident avec tués;Accident concernant des piétons;Décembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident concernant des piétons;Décembre;Autre;0;0;0;1;0;0;0;0;0;1;2
Accident avec tués;Accident avec un animal;Janvier;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Janvier;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Janvier;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Janvier;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Janvier;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Février;Autoroute;0;0;0;0;0;1;0;0;0;0;0
Accident avec tués;Accident avec un animal;Février;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Février;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Février;Route secondaire;0;0;0;0;0;0;0;0;0;0;1
Accident avec tués;Accident avec un animal;Février;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Février;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mars;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mars;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mars;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mars;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mars;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Avril;Autoroute;0;0;0;0;0;0;0;1;0;0;0
Accident avec tués;Accident avec un animal;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Avril;Route principale;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Avril;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Avril;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Avril;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mai;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mai;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mai;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mai;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Mai;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juin;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juin;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juin;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juin;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juin;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juillet;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juillet;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juillet;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juillet;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Juillet;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Août;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Août;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Août;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Août;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Août;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Septembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Septembre;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Septembre;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Septembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Septembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Octobre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Octobre;Route principale;0;0;0;0;1;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Octobre;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Octobre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Octobre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Novembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Novembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Novembre;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Novembre;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Novembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Novembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Décembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Décembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Décembre;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Décembre;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Décembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident avec un animal;Décembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Janvier;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Janvier;Route principale;0;1;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Janvier;Route secondaire;0;1;1;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Janvier;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Janvier;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Février;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Février;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Février;Route principale;0;0;0;0;1;0;0;0;0;0;1
Accident avec tués;Autre;Février;Route secondaire;0;0;0;0;1;0;0;0;0;0;0
Accident avec tués;Autre;Février;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Février;Autre;0;0;0;1;0;0;0;0;0;0;0
Accident avec tués;Autre;Mars;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Mars;Route principale;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Mars;Route secondaire;0;2;0;0;0;0;1;0;0;0;2
Accident avec tués;Autre;Mars;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Mars;Autre;0;0;0;0;0;0;0;0;0;0;1
Accident avec tués;Autre;Avril;Autoroute;0;0;0;0;0;1;0;0;0;0;0
Accident avec tués;Autre;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Avril;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Avril;Route secondaire;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Avril;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Avril;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Mai;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Mai;Route principale;0;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Mai;Route secondaire;0;0;0;1;0;0;2;0;1;0;0
Accident avec tués;Autre;Mai;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Mai;Autre;0;0;0;0;0;0;1;0;0;0;0
Accident avec tués;Autre;Juin;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Juin;Route principale;1;1;0;0;0;0;0;1;0;0;1
Accident avec tués;Autre;Juin;Route secondaire;0;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Juin;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Juin;Autre;0;0;0;0;0;0;0;1;0;0;0
Accident avec tués;Autre;Juillet;Autoroute;0;0;0;0;0;0;0;0;1;0;0
Accident avec tués;Autre;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Juillet;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Juillet;Route secondaire;1;0;1;0;0;0;0;0;1;0;1
Accident avec tués;Autre;Juillet;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Juillet;Autre;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Août;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Août;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Août;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Août;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Août;Autre;1;0;0;0;0;0;0;0;1;0;0
Accident avec tués;Autre;Septembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Septembre;Route principale;0;0;0;0;0;0;0;1;0;0;0
Accident avec tués;Autre;Septembre;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Septembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Septembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Octobre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Octobre;Route principale;0;0;0;0;0;0;0;0;0;0;1
Accident avec tués;Autre;Octobre;Route secondaire;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Octobre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Octobre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Novembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Novembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Novembre;Route principale;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Autre;Novembre;Route secondaire;0;0;0;0;0;0;0;0;0;1;0
Accident avec tués;Autre;Novembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
