Gravité de l'accident;Type d'accident;Mois de l'accident;Genre de route;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Août;Semi-autoroute;0;2;0;0;0;0;0;0;1;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Août;Autre;0;1;0;0;0;0;4;0;0;1;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Septembre;Autoroute;1;3;2;0;1;0;0;1;0;1;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Septembre;Route principale;4;3;2;1;4;6;12;9;2;6;5
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Septembre;Route secondaire;1;3;5;7;5;2;6;2;2;5;6
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Septembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Septembre;Autre;0;1;0;0;1;0;0;0;0;1;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Octobre;Autoroute;0;0;0;1;2;1;1;0;1;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Octobre;Route principale;5;2;6;2;3;7;4;4;3;7;6
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Octobre;Route secondaire;2;3;3;3;2;4;2;4;5;7;3
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Octobre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Octobre;Autre;1;0;0;0;0;2;1;1;0;2;2
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Novembre;Autoroute;0;2;0;3;0;0;2;1;1;1;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Novembre;Installation annexe sur autoroute;0;0;0;0;2;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Novembre;Route principale;4;3;2;3;3;8;4;0;0;6;5
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Novembre;Route secondaire;2;2;1;0;2;3;2;3;5;1;4
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Novembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Novembre;Autre;1;1;0;1;2;0;0;0;1;2;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Décembre;Autoroute;1;1;0;0;1;0;0;0;0;1;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Décembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Décembre;Route principale;5;5;3;2;1;2;0;1;5;0;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Décembre;Route secondaire;0;2;3;1;3;2;1;2;6;1;1
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Décembre;Semi-autoroute;0;0;0;0;0;0;1;0;0;1;0
Accident avec tués;Accident lors d'un dérapage ou d'une perte de maîtrise;Décembre;Autre;0;2;0;0;0;1;0;0;2;1;1
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Janvier;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Janvier;Route principale;0;0;1;1;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Janvier;Route secondaire;1;1;0;0;0;0;2;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Janvier;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Janvier;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Février;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Février;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Février;Route principale;0;0;0;0;0;0;0;0;0;0;1
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Février;Route secondaire;0;0;0;0;0;0;0;1;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Février;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;1
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Février;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mars;Autoroute;0;0;0;0;0;0;1;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mars;Route principale;0;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mars;Route secondaire;0;0;0;1;0;0;0;0;0;0;0
